DONOSTIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
7 Mar.;;0;0;1;0;0;;0;0;;0;;0;11;13;;0;;0;0;10;;0;;;0;0;0;;0;0;;44;0;0;0;1;0;0;0;1;;0;0;;0;0;2;83;0;;
8 Mar.;;0;0;7;0;0;;0;0;;0;;0;21;91;;0;;0;0;30;;0;;;0;0;0;;1;0;;97;0;0;0;3;0;0;0;4;;0;0;;1;0;2;257;0;;
9 Mar.;;0;0;1;0;0;;0;0;;0;;0;11;26;;0;;0;0;11;;0;;;0;0;0;;1;0;;29;0;0;0;1;0;0;0;2;;0;0;;0;0;5;87;1;;
10 Mar.;;0;0;5;0;0;;0;0;;0;;0;1;14;;0;;0;0;24;;0;;;0;0;0;;1;1;;1;0;0;1;1;1;0;0;1;;0;0;;1;0;1;53;0;;
11 Mar.;;0;0;5;0;0;;0;0;;0;;0;1;11;;0;;0;0;13;;0;;;0;0;0;;0;0;;11;0;0;0;3;0;0;0;2;;0;0;;1;0;1;48;1;;
12 Mar.;;0;0;8;0;2;;1;0;;0;;0;13;46;;0;;0;0;45;;0;;;0;1;0;;4;0;;16;0;0;5;11;3;0;0;4;;0;0;;2;0;3;164;1;;
13 Mar.;;0;0;10;0;0;;2;0;;0;;0;5;83;;0;;0;0;44;;0;;;0;1;0;;3;0;;13;1;0;1;9;11;0;1;7;;0;0;;3;0;2;196;0;;
14 Mar.;;0;0;4;0;0;;0;0;;0;;0;4;8;;0;;0;0;19;;0;;;0;0;0;;2;0;;1;1;0;2;2;3;0;0;3;;0;0;;0;0;1;50;1;;
15 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;4;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;2;0;0;0;0;0;;0;0;;0;0;0;8;0;;
16 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;2;;0;;0;0;7;;0;;;0;0;0;;0;0;;1;1;0;1;1;3;0;0;1;;0;0;;0;0;0;18;1;;
17 Mar.;;0;0;4;0;1;;1;0;;0;;0;0;8;;0;;0;2;13;;0;;;0;1;0;;4;0;;8;1;2;1;6;5;0;1;7;;0;0;;0;0;0;65;0;;
18 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;2;;0;;0;0;2;;0;;;0;0;0;;1;0;;2;0;1;0;1;1;0;0;0;;0;0;;0;0;0;10;1;;
19 Mar.;;0;0;1;0;2;;0;0;;0;;0;0;10;;0;;0;0;9;;0;;;0;1;0;;5;0;;14;0;1;1;2;13;0;0;1;;0;0;;0;0;0;60;1;;
20 Mar.;;0;0;5;0;1;;0;0;;0;;0;0;14;;0;;0;0;10;;0;;;0;0;0;;2;0;;16;2;1;1;3;17;0;0;4;;0;0;;1;0;1;78;0;;
21 Mar.;;0;0;1;0;2;;0;0;;0;;0;0;25;;0;;0;0;8;;0;;;0;0;0;;3;0;;13;1;0;1;4;10;0;1;0;;0;0;;0;0;0;69;1;;
22 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;2;0;0;0;;0;0;;0;0;0;5;0;;
23 Mar.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;3;0;0;1;;0;0;;0;0;0;8;1;;
24 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;9;;0;;;0;0;0;;0;0;;5;0;0;0;0;6;0;1;0;;0;0;;1;0;0;23;0;;
25 Mar.;;0;0;4;0;0;;0;0;;0;;0;0;2;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;1;0;1;0;0;0;0;;0;0;;1;0;0;11;0;;
26 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;2;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
