VITORIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
16 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;4;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;0;1;0;0;0;0;;0;0;;3;0;0;12;0;;
17 Feb.;;0;0;3;0;0;;0;0;;0;;0;10;18;;0;;0;0;4;;0;;;0;0;0;;1;0;;1;0;0;1;7;0;0;0;1;;0;0;;2;0;0;48;3;;
18 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;3;0;0;1;3;0;0;0;0;;0;0;;1;0;0;13;0;;
19 Feb.;;0;0;5;0;0;;0;0;;0;;0;2;0;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;10;0;;
20 Feb.;;1;0;1;0;0;;0;0;;0;;0;1;12;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;0;1;0;0;0;0;;0;0;;3;0;0;22;1;;
21 Feb.;;0;0;1;0;0;;0;0;;0;;0;4;13;;0;;0;0;3;;0;;;0;0;0;;1;0;;19;0;0;0;2;0;0;0;0;;0;0;;4;0;1;48;0;;
22 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;3;;0;;0;0;3;;0;;;0;0;0;;1;0;;0;0;0;0;3;0;0;0;0;;0;0;;0;0;0;12;0;;
23 Feb.;;0;0;1;0;0;;0;0;;0;;0;12;54;;0;;0;0;3;;0;;;0;0;0;;1;0;;1;0;0;1;59;0;0;0;0;;0;0;;6;0;0;138;1;;
24 Feb.;;0;0;2;0;0;;0;0;;0;;0;5;73;;0;;0;0;3;;0;;;0;0;0;;1;0;;1;0;0;1;14;0;0;0;0;;0;0;;2;0;1;103;0;;
25 Feb.;;0;0;1;0;0;;0;0;;0;;0;3;42;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;2;1;0;0;0;0;;0;0;;2;0;0;54;0;;
26 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;7;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;1;;0;0;;0;0;0;11;0;;
27 Feb.;;0;0;5;0;0;;0;0;;0;;0;3;4;;0;;0;0;3;;0;;;0;0;0;;1;0;;20;0;0;1;1;0;0;0;0;;0;0;;1;0;1;40;0;;
28 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
1 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
2 Mar.;;0;0;1;0;0;;0;0;;0;;0;1;11;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;3;0;0;0;0;;0;0;;0;0;0;19;0;;
3 Mar.;;0;0;1;0;0;;0;0;;0;;0;4;43;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;0;4;0;0;0;0;;0;0;;0;0;0;55;0;;
4 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;3;0;0;0;0;;0;0;;0;0;0;3;0;;
5 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;1;5;0;0;0;0;;0;0;;0;0;1;10;0;;
6 Mar.;;0;0;18;0;0;;0;0;;0;;0;7;14;;0;;0;0;13;;0;;;0;0;0;;2;0;;34;0;0;1;13;0;0;0;1;;0;0;;1;0;0;104;0;;
7 Mar.;;0;0;22;0;0;;0;0;;0;;0;12;80;;0;;0;0;17;;0;;;0;0;0;;5;0;;82;0;0;0;41;0;0;0;3;;0;0;;1;0;0;263;1;;
8 Mar.;;0;0;3;0;0;;0;0;;0;;0;9;146;;0;;0;0;5;;0;;;0;0;0;;2;0;;7;0;0;1;242;0;0;0;5;;0;0;;3;0;1;424;2;;
9 Mar.;;0;0;1;0;0;;0;0;;0;;0;1;21;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;1;87;0;0;0;0;;0;0;;1;0;1;115;1;;
10 Mar.;;0;0;2;0;0;;1;0;;0;;0;3;49;;0;;0;0;18;;0;;;0;0;0;;1;0;;10;0;0;2;43;0;0;0;4;;0;0;;1;0;1;135;1;;
11 Mar.;;0;0;0;0;0;;1;0;;0;;0;1;54;;0;;0;0;14;;0;;;0;0;0;;0;0;;9;0;0;0;20;0;0;0;3;;0;0;;2;0;0;104;0;;
12 Mar.;;0;0;1;0;0;;0;0;;0;;0;2;11;;0;;0;0;2;;0;;;0;1;0;;1;0;;1;0;0;2;32;0;0;0;2;;0;0;;0;0;2;57;2;;
13 Mar.;;0;0;1;0;0;;1;0;;0;;0;3;28;;0;;0;0;5;;0;;;0;1;0;;0;0;;2;0;0;0;62;0;0;0;3;;0;0;;1;0;1;108;3;;
14 Mar.;;0;0;11;0;0;;0;0;;0;;0;4;34;;0;;0;0;15;;0;;;0;0;0;;1;0;;30;0;0;1;18;0;0;0;4;;0;0;;1;0;2;121;0;;
15 Mar.;;0;0;1;0;0;;0;0;;0;;0;1;50;;0;;0;0;4;;0;;;0;0;0;;1;0;;2;0;0;0;20;0;0;0;3;;0;0;;1;0;1;84;0;;
16 Mar.;;0;0;3;0;0;;0;0;;0;;0;0;14;;0;;0;0;20;;0;;;0;0;0;;3;0;;18;0;0;1;20;0;0;0;7;;0;0;;0;0;0;86;0;;
17 Mar.;;1;0;1;0;0;;1;0;;0;;0;0;53;;0;;0;0;24;;0;;;0;0;0;;4;0;;7;0;0;1;19;0;0;0;11;;0;0;;0;0;0;122;0;;
18 Mar.;;0;0;0;0;0;;0;0;;0;;0;1;31;;0;;0;0;4;;0;;;0;0;0;;1;0;;1;0;0;1;2;0;0;0;5;;0;0;;0;0;0;46;0;;
19 Mar.;;1;0;1;0;0;;0;0;;0;;0;1;91;;0;;0;0;24;;0;;;0;0;0;;3;0;;18;1;0;0;16;0;0;1;8;;0;0;;1;0;1;167;1;;
20 Mar.;;1;0;0;0;2;;0;0;;0;;0;2;43;;0;;0;0;19;;0;;;0;0;0;;11;0;;19;1;1;0;57;0;1;0;5;;0;0;;1;0;5;168;1;;
21 Mar.;;2;0;1;0;2;;3;0;;0;;0;0;49;;0;;0;0;13;;0;;;0;0;0;;13;0;;5;0;1;1;50;1;0;0;7;;0;0;;0;0;1;149;1;;
22 Mar.;;1;0;0;0;0;;0;0;;0;;0;0;14;;0;;0;0;5;;0;;;0;0;0;;1;0;;3;0;0;0;7;0;0;0;1;;0;0;;0;0;0;32;0;;
23 Mar.;;1;0;0;0;1;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;0;2;0;0;0;0;;0;0;;0;0;0;8;0;;
24 Mar.;;1;0;0;0;0;;1;0;;0;;0;0;2;;0;;0;1;1;;0;;;0;0;0;;2;0;;1;0;0;0;3;1;0;0;0;;0;0;;1;0;0;14;0;;
25 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;4;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;6;0;0;0;0;;0;0;;0;0;0;10;0;;
26 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
27 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;4;;0;;0;0;3;;0;;;0;0;0;;1;0;;1;0;1;1;7;0;0;0;0;;0;0;;0;0;1;19;0;;
28 Mar.;;2;0;1;0;2;;0;0;;0;;0;1;9;;0;;0;0;8;;0;;;0;0;0;;7;0;;7;0;7;1;18;1;0;0;10;;0;0;;0;0;3;77;3;;
29 Mar.;;0;0;0;0;2;;0;0;;0;;0;0;11;;1;;1;0;9;;0;;;0;1;0;;9;0;;14;0;12;1;14;3;0;1;5;;0;0;;0;0;4;88;2;;
30 Mar.;;1;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;5;;0;;;0;0;0;;2;0;;0;0;2;0;11;1;0;0;5;;0;0;;0;0;0;30;1;;
31 Mar.;;0;0;0;0;7;;0;0;;0;;0;0;14;;1;;0;0;16;;0;;;0;0;0;;3;0;;7;0;6;1;24;1;0;0;3;;0;0;;0;0;7;90;3;;
1  Abr.;;1;0;0;0;10;;0;0;;0;;2;0;24;;2;;0;0;12;;0;;;0;0;0;;6;0;;17;0;14;4;18;0;0;0;6;;0;0;;1;0;9;126;15;;
2  Abr.;;0;0;0;0;4;;0;0;;0;;0;0;6;;1;;0;0;7;;0;;;0;0;0;;2;0;;1;0;1;1;5;0;0;0;1;;0;0;;0;0;2;31;3;;
3  Abr.;;0;0;0;0;1;;0;0;;0;;0;0;3;;0;;0;0;2;;0;;;0;0;0;;1;0;;2;0;1;0;2;4;0;0;0;;0;0;;0;0;1;17;0;;
4  Abr.;;1;0;0;0;3;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;6;1;3;0;0;0;0;;0;0;;0;0;0;16;1;;
5  Abr.;;0;0;0;0;7;;1;0;;0;;0;0;18;;0;;0;0;2;;0;;;0;0;0;;0;0;;2;0;10;1;1;7;0;0;2;;0;0;;0;0;0;51;0;;
6  Abr.;;1;0;0;0;10;;0;0;;0;;0;0;18;;0;;0;0;5;;0;;;0;0;0;;5;0;;3;0;20;1;16;1;0;0;7;;0;0;;1;0;3;91;2;;
7  Abr.;;1;0;0;0;19;;0;0;;0;;0;0;17;;0;;1;0;1;;0;;;0;0;0;;7;0;;17;1;66;0;16;22;0;0;3;;0;0;;0;0;6;177;3;;
8  Abr.;;0;0;0;0;6;;0;0;;0;;0;0;5;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;28;0;3;7;0;0;0;;0;0;;0;0;0;50;1;;
9  Abr.;;1;0;0;0;19;;1;0;;0;;2;0;3;;0;;0;0;3;;0;;;0;0;0;;2;0;;5;2;85;1;3;21;0;1;4;;0;0;;0;0;0;153;1;;
10 Abri.;;1;1;0;0;18;;1;0;;0;;0;0;35;;0;;0;0;1;;1;;;0;0;0;;5;0;;7;0;173;1;12;13;0;1;4;;0;0;;0;0;1;275;1;;
11 Abri.;;0;1;0;0;6;;0;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;4;3;55;2;0;12;0;0;1;;0;0;;0;0;0;88;1;;
12 Abri.;;0;0;0;0;2;;0;0;;0;;1;0;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;5;1;34;3;2;24;0;0;0;;0;0;;0;0;0;75;1;;
13 Abri.;;0;1;0;0;21;;0;0;;0;;0;0;1;;0;;0;0;0;;1;;;0;1;0;;1;0;;4;0;246;1;1;34;0;1;1;;0;0;;0;0;1;315;0;;
14 Abri.;;0;1;0;0;20;;0;0;;0;;0;0;43;;0;;0;0;1;;1;;;0;1;0;;6;0;;11;2;171;3;4;68;0;5;2;;0;0;;0;0;1;340;1;;
15 Abri.;;0;1;0;0;29;;1;0;;0;;1;0;24;;1;;1;0;3;;0;;;0;0;0;;10;0;;5;7;343;4;6;58;0;3;1;;0;0;;0;0;5;503;5;;
16 Abri.;;0;0;0;0;11;;2;0;;0;;0;0;16;;0;;0;1;0;;1;;;0;0;0;;9;0;;2;0;269;3;1;11;0;0;0;;0;0;;0;0;3;329;0;;
17 Abri.;;0;1;0;0;1;;0;0;;0;;1;0;4;;0;;0;0;0;;0;;;0;0;0;;3;0;;3;0;150;3;0;10;0;0;0;;0;0;;0;0;3;179;1;;
18 Abri.;;0;2;0;0;3;;0;0;;0;;0;0;4;;0;;2;2;1;;1;;;0;0;0;;12;0;;2;0;92;3;0;17;0;0;0;;0;0;;0;0;3;144;1;;
19 Abri.;;0;5;0;0;5;;0;0;;0;;0;0;3;;0;;0;0;0;;1;;;0;0;0;;6;0;;1;1;67;1;0;47;0;0;0;;0;0;;0;0;0;137;0;;
20 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;3;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
21 Abri.;;0;3;0;0;1;;0;0;;0;;1;0;4;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;22;1;0;14;0;0;0;;0;0;;0;0;0;48;0;;
22 Abri.;;0;1;0;0;1;;0;0;;0;;0;0;0;;0;;1;0;1;;0;;;0;0;0;;1;0;;2;0;11;3;0;20;0;1;0;;0;0;;0;0;0;42;1;;
23 Abri.;;1;5;0;0;1;;0;0;;0;;0;0;3;;0;;0;1;0;;1;;;0;0;0;;16;0;;5;1;26;1;0;5;0;1;0;;0;0;;0;0;1;68;1;;
